accession,tax_id,organism_name,common_name,fasta_url_download
GCA_015074545.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015074545.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015074585.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015074585.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015086735.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015086735.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015145105.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015145105.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146255.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146255.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146615.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146615.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015110655.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015110655.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015102475.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015102475.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015074485.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015074485.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015121565.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015121565.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015086715.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015086715.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015107175.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015107175.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015074565.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015074565.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015102535.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015102535.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015121525.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015121525.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015120705.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015120705.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015120605.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015120605.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015120635.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015120635.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015109095.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015109095.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015120665.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015120665.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147135.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147685.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147685.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015101755.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015101755.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146515.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146515.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015101675.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015101675.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015101655.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015101655.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015101705.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015101705.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015093335.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015093335.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015081335.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015081335.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146315.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146315.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015089695.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015089695.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015076165.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015076165.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015076135.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015076135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015121645.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015121645.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015121625.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015121625.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015081215.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015081215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015126875.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015126875.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015126915.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015126915.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146475.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146475.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015098195.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015098195.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146195.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146195.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015075045.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015075045.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015110585.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015110585.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015076085.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015076085.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015098235.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015098235.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147405.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147405.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015159295.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015159295.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015110535.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015110535.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015121975.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015121975.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015122005.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015122005.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015075845.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015075845.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147025.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147025.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015159315.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015159315.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015145955.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015145955.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015125915.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015125915.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015145775.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015145775.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015076205.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015076205.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015125955.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015125955.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015107275.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015107275.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015100115.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015100115.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015107195.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015107195.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147725.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147725.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015095795.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015095795.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015095755.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015095755.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147465.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147465.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015100055.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015100055.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015102375.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015102375.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147765.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147765.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015102455.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015102455.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015076225.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015076225.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015078955.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015078955.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147525.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147525.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015149995.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015149995.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015112335.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015112335.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015112975.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015112975.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146555.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146555.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015150795.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015150795.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015075905.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015075905.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146295.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146295.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015086755.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015086755.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015143235.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015143235.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015086825.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015086825.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015145915.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015145915.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146175.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146175.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015081235.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015081235.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015164135.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015164135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015156355.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015156355.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015078775.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015078775.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146785.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146785.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147185.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147185.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015146965.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015146965.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147345.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147345.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147905.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147905.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015074705.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015074705.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147325.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147325.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015074715.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015074715.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015158435.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015158435.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015158395.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015158395.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015075825.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015075825.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015147645.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015147645.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015075875.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015075875.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCA_015121745.1,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015121745.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
